====================================================================================================
TRADE LOGBOOK - ALL TRADES
====================================================================================================

#   TIME                SYMBOL     SIDE   LAYER  ENTRY          EXIT           STATUS   P&L       
----------------------------------------------------------------------------------------------------
1   2026-03-15T06:33:08 XRPUSDT    LONG   L1     $1.4056        $1.4197        WIN      $2.66
2   2026-03-15T06:31:20 NEARUSDT   LONG   L3     $1.3371        $1.3504        LOSS     $-7.61
3   2026-03-15T06:30:19 ADAUSDT    LONG   L1     $0.2644        $0.2671        LOSS     $-7.84
4   2026-03-15T06:29:35 APTUSDT    LONG   L1     $0.9227        $0.9319        LOSS     $-15.39
5   2026-03-15T06:11:00 ATOMUSDT   LONG   L2     $1.8514        $1.8699        LOSS     $-4.60
6   2026-03-15T05:17:59 BTCUSDT    SHORT  L2     $71706.6034    $70989.5373    WIN      $11.29
7   2026-03-15T05:10:27 HYPEUSDT   LONG   L3     $37.6767       $38.0535       LOSS     $-12.85
8   2026-03-15T04:36:15 AVAXUSDT   LONG   L1     $9.6921        $9.7890        LOSS     $-0.54
9   2026-03-15T04:26:21 NEARUSDT   LONG   L2     $1.3506        $1.3641        LOSS     $-32.54
10  2026-03-15T04:17:07 ADAUSDT    SHORT  L3     $0.2663        $0.2636        WIN      $25.65
11  2026-03-15T04:07:54 NEARUSDT   SHORT  L4     $1.3569        $1.3430        WIN      $25.70
12  2026-03-15T03:35:04 NEARUSDT   LONG   L1     $1.3642        $1.3779        LOSS     $-57.21
13  2026-03-15T03:15:57 DOGEUSDT   LONG   L1     $0.0964        $0.0974        LOSS     $-22.46
14  2026-03-15T03:02:43 UNIUSDT    LONG   L1     $3.9748        $4.0146        LOSS     $-20.03
15  2026-03-15T02:54:36 LTCUSDT    LONG   L1     $55.2024       $55.7544       LOSS     $-6.90
16  2026-03-15T02:45:00 DOTUSDT    SHORT  L2     $1.4210        $1.4068        WIN      $21.11
17  2026-03-15T02:44:47 ETHUSDT    SHORT  L2     $2101.9160     $2080.8969     LOSS     $-2.24
18  2026-03-15T02:44:44 DOGEUSDT   SHORT  L3     $0.0968        $0.0958        WIN      $25.49
19  2026-03-15T02:20:12 ADAUSDT    SHORT  L2     $0.2637        $0.2611        WIN      $0.91
20  2026-03-15T02:08:12 ADAUSDT    LONG   L1     $0.2635        $0.2665        WIN      $28.10
21  2026-03-15T02:03:07 ARBUSDT    SHORT  L2     $0.1017        $0.1007        LOSS     $-9.73
22  2026-03-15T02:03:07 LINKUSDT   SHORT  L3     $9.1923        $9.1004        LOSS     $-7.52
23  2026-03-15T02:03:07 SOLUSDT    SHORT  L2     $88.1978       $87.3159       WIN      $2.77
24  2026-03-15T02:03:03 APTUSDT    SHORT  L2     $0.9242        $0.9150        WIN      $19.50
25  2026-03-15T02:03:03 XRPUSDT    SHORT  L2     $1.4118        $1.3977        WIN      $8.36
26  2026-03-15T02:02:26 NEARUSDT   SHORT  L3     $1.3435        $1.3301        WIN      $19.56
